id,city,name,address
B0004S344060026,佛山,建设银行佛山湖景路支行,佛山市禅城区湖景路21号P3、P4、P5、P6商铺
B0004S344060027,佛山,建设银行佛山禅城中心支行,佛山市禅城区汾江中路120号
B0004S344060028,佛山,建设银行佛山丽日豪庭支行,佛山市禅城区汾江南路32号1区一座首层P1、P2、P3、P5号
B0004S344060031,佛山,建设银行佛山新城支行,佛山市禅城区岭南大道北98号2区十一、十二座首层43、44、45、46号
B0004S344060032,佛山,建设银行佛山禅建支行,佛山市禅城区汾江中路185号
B0004S344060035,佛山,建设银行佛山南庄支行,佛山市禅城区南庄镇南庄大道中68号2区首层商铺P11、P12
B0004S344060036,佛山,建设银行佛山南建支行,佛山市禅城区南庄镇紫洞南路96号1区首层P10、P11、P12、P13、P14、P15、P16号
B0004S344060037,佛山,建设银行佛山南海支行,佛山市南海区桂城南海大道建行大厦
B0004S344060038,佛山,建设银行佛山桂城支行,佛山市南海区桂城天佑三路11号美邦公寓101铺、102铺、103铺、104铺、106铺（部分）
B0004S344060039,佛山,建设银行佛山星星华园支行,佛山市禅城区影荫路17号首层P68、P69号
B0004S344060040,佛山,建设银行佛山怡翠馨园支行,佛山市南海区桂城街道简平路2号怡翠馨园首层073-080号商铺
B0004S344060041,佛山,建设银行佛山玉器街支行,佛山市南海区桂城街道平洲平东大益路平洲珠宝玉器协会办公大楼首层的部分
B0004S344060043,佛山,建设银行佛山中海千灯湖支行,佛山市南海区桂城街道灯湖西路3号中海千灯湖花园商业四座01-08号
B0004S344060044,佛山,建设银行佛山桂平支行,佛山市南海区桂城桂平西路3号怡翠花园海棠苑首层19、20、21、22、23号商铺
B0004S344060045,佛山,建设银行佛山平洲支行,佛山市南海区桂城街道佛平五路1号康怡丽苑17、18、19、21号商铺
B0004S344060046,佛山,建设银行佛山江南名居支行,佛山市南海区桂城街道南一路39号江南名居锦苑首层015、016、017、018、019、020、021号商铺
B0004S344060047,佛山,建设银行佛山大沥支行,佛山市南海区大沥镇新城大道凤池商业城D1座
B0004S344060048,佛山,建设银行佛山桂中支行,佛山市南海区大沥镇城南二路名汇城市花园首层1、2、3A、3B号商铺
B0004S344060049,佛山,建设银行佛山建强支行,佛山市南海区大沥镇岭南路85号广佛智城3号楼3121A、B、3122A、B、3123、3124A、3124B、3125、3126、3153、3154、Z301-Z303铺
B0004S344060051,佛山,建设银行佛山虹岭路支行,佛山市南海区狮山镇官窑虹岭一路16号虹岭商业广场第一座西1-13号
B0004S344060053,佛山,建设银行佛山沥园支行,佛山市南海区大沥镇金贸大道新城南广场一号楼1-1001、1-1002商铺
B0004S344060054,佛山,建设银行佛山官窑支行,佛山市南海区官窑镇瑶平路28号枫景居庭A座一层02号-04号商铺
B0004S344060055,佛山,建设银行佛山松岗支行,佛山市南海区松岗镇松岗大道129号
B0004S344060056,佛山,建设银行佛山黄岐支行,佛山市南海区大沥镇黄岐洞庭路碧翠华庭小区7号楼47、48、49、50、51、52号商铺
B0004S344060057,佛山,建设银行佛山岐建支行,佛山市南海区大沥镇黄岐六联中村渤海路8号1-2号铺
B0004S344060058,佛山,建设银行佛山盐步支行,广东省佛山市南海区盐步沙涌村时代广场4号楼首层3、4、5号铺
B0004S344060059,佛山,建设银行佛山里水支行,佛山市南海区里水镇振兴路25号
B0004S344060060,佛山,建设银行佛山罗村支行,佛山市南海区狮山镇罗村南湖一路6号
B0004S344060061,佛山,建设银行佛山时代倾城支行,佛山市南海区狮山镇罗村北湖一路4号时代倾城133-136号、237-240号商铺
